Anno,Ateneo,Classe,Corso,GruppoCodice,Sesso,Iscritti
2010/2011,Aosta,3,"Lingue e Comunicazione per il Territorio, l'Impresa e il Turismo",4,F,53
2010/2011,Aosta,3,"Lingue e Comunicazione per il Territorio, l'Impresa e il Turismo",4,M,9
2010/2011,Aosta,L-12,Lingue e Comunicazione per l'Impresa e il Turismo,4,F,42
2010/2011,Aosta,18,Pedagogia dell'Infanzia,1,F,7
2010/2011,Aosta,LM-51,Psicologia,6,F,32
2010/2011,Aosta,58/S,Psicologia,6,F,51
2010/2011,Aosta,LM-51,Psicologia,6,M,11
2010/2011,Aosta,58/S,Psicologia,6,M,12
2010/2011,Aosta,15,Scienze Politiche e delle Relazioni Internazionali,5,F,29
2010/2011,Aosta,L-36,Scienze Politiche e delle Relazioni Internazionali,5,F,31
2010/2011,Aosta,15,Scienze Politiche e delle Relazioni Internazionali,5,F,35
2010/2011,Aosta,L-36,Scienze Politiche e delle Relazioni Internazionali,5,M,18
2010/2011,Aosta,15,Scienze Politiche e delle Relazioni Internazionali,5,M,27
2010/2011,Aosta,15,Scienze Politiche e delle Relazioni Internazionali,5,M,33
2010/2011,Aosta,17,Scienze dell'Economia e della Gestione Aziendale,7,F,14
2010/2011,Aosta,L-18,Scienze dell'Economia e della Gestione Aziendale,7,F,44
2010/2011,Aosta,17,Scienze dell'Economia e della Gestione Aziendale,7,F,63
2010/2011,Aosta,17,Scienze dell'Economia e della Gestione Aziendale,7,M,12
2010/2011,Aosta,L-18,Scienze dell'Economia e della Gestione Aziendale,7,M,32
2010/2011,Aosta,17,Scienze dell'Economia e della Gestione Aziendale,7,M,45
2010/2011,Aosta,L-19,Scienze dell'Educazione,1,F,35
2010/2011,Aosta,18,Scienze dell'Educazione,1,F,99
2010/2011,Aosta,18,Scienze dell'Educazione,1,M,9
2010/2011,Aosta,18-bis,Scienze della Formazione Primaria,1,F,156
2010/2011,Aosta,18-bis,Scienze della formazione primaria,1,M,22
2010/2011,Aosta,L-24,Scienze e Tecniche Psicologiche,6,F,213
2010/2011,Aosta,L-24,Scienze e Tecniche Psicologiche,6,M,53
2010/2011,Aosta,34,Scienze e Tecniche Psicologiche delle Relazioni di Aiuto,6,F,35
2010/2011,Aosta,34,Scienze e Tecniche Psicologiche delle Relazioni di Aiuto,6,M,11
2010/2011,Bari,84/S,Amministrazione e Consulenza Aziendale (Sede di Brindisi),7,F,6
2010/2011,Bari,84/S,Amministrazione e Consulenza Aziendale (Sede di Brindisi),7,M,6
2010/2011,Bari,LM-2,Archeologia,3,F,58
2010/2011,Bari,LM-2,Archeologia,3,M,23
2010/2011,Bari,SNT4,Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario),14,F,54
2010/2011,Bari,SNT4,Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario),14,M,15
2010/2011,Bari,LM-5,Beni Archivistici e Librari,5,F,46
2010/2011,Bari,LM-5,Beni Archivistici e Librari,5,M,6
2010/2011,Bari,L-1,Beni Enogastronomici,2,F,21
2010/2011,Bari,L-26,Beni Enogastronomici,13,F,55
2010/2011,Bari,L-1,Beni Enogastronomici,2,M,24
2010/2011,Bari,L-26,Beni Enogastronomici,13,M,53
2010/2011,Bari,LM-6,Biologia Ambientale,9,F,12
2010/2011,Bari,12,Biologia Ambientale,9,F,66
2010/2011,Bari,LM-6,Biologia Ambientale,9,M,12
2010/2011,Bari,12,Biologia Ambientale,9,M,17
2010/2011,Bari,6/S,Biologia Cellulare e Molecolare,9,F,12
2010/2011,Bari,LM-6,Biologia Cellulare e Molecolare,9,F,60
2010/2011,Bari,12,Biologia Cellulare e Molecolare,9,F,122
2010/2011,Bari,6/S,Biologia Cellulare e Molecolare,9,M,6
2010/2011,Bari,LM-6,Biologia Cellulare e Molecolare,9,M,21
2010/2011,Bari,12,Biologia Cellulare e Molecolare,9,M,29
2010/2011,Bari,LM-8,Biotecnologie Industriali ed Ambientali,9,F,30
2010/2011,Bari,LM-8,Biotecnologie Industriali ed Ambientali,9,M,12
2010/2011,Bari,L-2,Biotecnologie Mediche e Farmaceutiche,9,F,149
2010/2011,Bari,L-2,Biotecnologie Mediche e Farmaceutiche,9,M,48
2010/2011,Bari,LM-09,Biotecnologie Mediche e Medicina Molecolare,9,F,69
2010/2011,Bari,LM-09,Biotecnologie Mediche e Medicina Molecolare,9,M,25
2010/2011,Bari,1,Biotecnologie Sanitarie e Farmaceutiche,9,F,47
2010/2011,Bari,1,Biotecnologie Sanitarie e Farmaceutiche,9,M,12
2010/2011,Bari,1,Biotecnologie per l'Innovazione di Processi e Prodotti,9,F,36
2010/2011,Bari,1,Biotecnologie per l'Innovazione di Processi e Prodotti,9,M,24
2010/2011,Bari,L-2,Biotecnologie per l'Innovazione di Processi e di Prodotti,9,F,104
2010/2011,Bari,L-2,Biotecnologie per l'Innovazione di Processi e di Prodotti,9,M,54
2010/2011,Bari,LM-7,Biotecnologie per la Qualita e la Sicurezza dell'Alimentazione Umana,9,F,18
2010/2011,Bari,LM-7,Biotecnologie per la Qualita e la Sicurezza dell'Alimentazione Umana,9,M,6
2010/2011,Bari,1,Biotecnologie per le Produzioni Agricole ed Alimentari,9,F,16
2010/2011,Bari,1,Biotecnologie per le Produzioni Agricole ed Alimentari,9,M,11
2010/2011,Bari,99999,Chimica,9,F,21
2010/2011,Bari,21,Chimica,9,F,51
2010/2011,Bari,L-27,Chimica,9,F,116
2010/2011,Bari,99999,Chimica,9,M,10
2010/2011,Bari,21,Chimica,9,M,57
2010/2011,Bari,L-27,Chimica,9,M,105
2010/2011,Bari,LM-13,Chimica e Tecnologia Farmaceutiche,14,F,192
2010/2011,Bari,LM-13,Chimica e Tecnologia Farmaceutiche,14,M,78
2010/2011,Bari,14/S,Chimica e Tecnologie Farmaceutica,14,F,316
2010/2011,Bari,14/S,Chimica e Tecnologie Farmaceutica,14,M,114
2010/2011,Bari,LM-69,Colture Mediterranee,13,M,13
2010/2011,Bari,L-12,Comunicazione Linguistica e Interculturale,4,F,687
2010/2011,Bari,L-12,Comunicazione Linguistica e Interculturale,4,M,145
2010/2011,Bari,101/S,Comunicazione e Multimedialita',5,F,39
2010/2011,Bari,101/S,Comunicazione e Multimedialita',5,M,13
2010/2011,Bari,LM-51,Consulente per i Servizi alla Persona ed alle Imprese,6,F,21
2010/2011,Bari,LM-50,Consulente per i Servizi alla Persona ed alle Imprese,1,F,60
2010/2011,Bari,84/S,Consulenza Professionale per le Aziende,7,F,53
2010/2011,Bari,LM-77,Consulenza Professionale per le Aziende,7,F,159
2010/2011,Bari,84/S,Consulenza Professionale per le Aziende,7,M,64
2010/2011,Bari,LM-77,Consulenza Professionale per le Aziende,7,M,90
2010/2011,Bari,84/S,Consulenza Professionale per le Aziende (Sede di Taranto),7,F,22
2010/2011,Bari,84/S,Consulenza Professionale per le Aziende (Sede di Taranto),7,M,31
2010/2011,Bari,SNT1/S,Corso di Laurea Specialistica in Scienze Infermieristiche ed Ostetriche,14,F,46
2010/2011,Bari,SNT1/S,Corso di Laurea Specialistica in Scienze Infermieristiche ed Ostetriche,14,M,12
2010/2011,Bari,SNT1,Corso di Laurea in Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,6
2010/2011,Bari,17,Corso di Laurea in Marketing e Comunicazione,7,F,298
2010/2011,Bari,17,Corso di Laurea in Marketing e Comunicazione,7,M,244
2010/2011,Bari,L-14,Corso di Laurea in Scienze dei Servizi Giuridici,8,F,169
2010/2011,Bari,L-14,Corso di Laurea in Scienze dei Servizi Giuridici,8,M,140
2010/2011,Bari,L-14,Corso di Laurea in Scienze dei Servizi Giuridici d'Impresa,8,F,97
2010/2011,Bari,L-14,Corso di Laurea in Scienze dei Servizi Giuridici d'Impresa,8,M,73
2010/2011,Bari,L-11,Culture delle Lingue Moderne e del Turismo,4,F,844
2010/2011,Bari,L-11,Culture delle Lingue Moderne e del Turismo,4,M,200
2010/2011,Bari,SNT3,Dietistica (Abilitante alla Professione Sanitaria di Dietista),14,F,30
2010/2011,Bari,SNT3,Dietistica (Abilitante alla Professione Sanitaria di Dietista),14,M,15
2010/2011,Bari,17,Economia Aziendale,7,F,412
2010/2011,Bari,17,Economia Aziendale,7,M,448
2010/2011,Bari,L-18,Economia Aziendale - Sede di Bari,7,F,319
2010/2011,Bari,L-18,Economia Aziendale - Sede di Bari,7,M,387
2010/2011,Bari,L-18,Economia Aziendale - Sede di Brindisi,7,F,80
2010/2011,Bari,17,Economia Aziendale - Sede di Brindisi,7,F,113
2010/2011,Bari,L-18,Economia Aziendale - Sede di Brindisi,7,M,92
2010/2011,Bari,17,Economia Aziendale - Sede di Brindisi,7,M,102
2010/2011,Bari,17,Economia Aziendale - Sede di Taranto,7,F,155
2010/2011,Bari,17,Economia Aziendale - Sede di Taranto,7,M,102
2010/2011,Bari,99999,Economia aziendale,7,F,43
2010/2011,Bari,99999,Economia aziendale,7,M,29
2010/2011,Bari,LM-56,Economia degli Intermediari e dei Mercati Finanziari,7,F,24
2010/2011,Bari,LM-56,Economia degli Intermediari e dei Mercati Finanziari,7,M,28
2010/2011,Bari,L-33,Economia e Amministrazione delle Aziende,7,F,11
2010/2011,Bari,L-18,Economia e Amministrazione delle Aziende,7,F,213
2010/2011,Bari,L-18,Economia e Amministrazione delle Aziende,7,M,245
2010/2011,Bari,L-33,Economia e Commercio,7,F,381
2010/2011,Bari,28,Economia e Commercio,7,F,466
2010/2011,Bari,L-33,Economia e Commercio,7,M,435
2010/2011,Bari,28,Economia e Commercio,7,M,466
2010/2011,Bari,28,Economia e Commercio - Sede di Taranto,7,F,156
2010/2011,Bari,28,Economia e Commercio - Sede di Taranto,7,M,125
2010/2011,Bari,LM-56,Economia e Commercio Internazionale,7,F,8
2010/2011,Bari,LM-56,Economia e Commercio Internazionale,7,M,15
2010/2011,Bari,LM-56,Economia e Gestione delle Aziende e dei Sistemi Turistici,7,F,45
2010/2011,Bari,LM-56,Economia e Gestione delle Aziende e dei Sistemi Turistici,7,M,25
2010/2011,Bari,84/S,Economia e Management,7,F,38
2010/2011,Bari,LM-77,Economia e Management,7,F,165
2010/2011,Bari,84/S,Economia e Management,7,M,49
