AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeP;SedeC;GruppoCODICE;Sesso;Isc
2024/2025;101;Torino;15;Scienze Politiche;1;1272;5;M;6
2024/2025;101;Torino;22/S;Giurisprudenza;1;1272;8;F;6
2024/2025;101;Torino;6;Servizio Sociale - Torino;1;1272;14;F;6
2024/2025;101;Torino;99999;Economia aziendale;1;1272;7;M;6
2024/2025;101;Torino;99999;Filosofia;1;1272;3;M;6
2024/2025;101;Torino;99999;Matematica;1;1272;9;F;6
2024/2025;101;Torino;99999;Materie letterarie;1;1272;3;M;6
2024/2025;101;Torino;99999;Odontoiatria e protesi dentaria;1;1272;14;M;6
2024/2025;101;Torino;99999;Scienze biologiche;1;1272;9;F;6
2024/2025;101;Torino;99999;Scienze geologiche;1;1272;9;M;6
2024/2025;101;Torino;99999;Storia;1;1272;3;F;6
2024/2025;101;Torino;99999;Storia;1;1272;3;M;6
2024/2025;101;Torino;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);1;1272;14;M;6
2024/2025;101;Torino;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);4;4078;14;M;6
2024/2025;101;Torino;L-22;Scienze delle Attivita Motorie e Sportive;5;5005;15;M;6
2024/2025;101;Torino;LM-65;Cinema e Media;1;1272;2;F;6
2024/2025;101;Torino;LM-73;Scienze e Tecnologie dei Sistemi e Territori Forestali;1;1120;13;F;6
2024/2025;101;Torino;SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);1;1272;14;F;6
2024/2025;102;Torino Politecnico;L-9;Tecnologie per l'industria manifatturiera;1;1272;12;M;6
2024/2025;201;Piemonte Orientale;L/SNT2;Fisioterapia (abilitante alla professione sanitaria di Fisioterapista);4;4089;14;F;6
2024/2025;201;Piemonte Orientale;LM-56;Economia, Management e Istituzioni;6;6003;7;M;6
2024/2025;701;Aosta;18-bis;Scienze della Formazione Primaria;7;7003;1;F;6
2024/2025;1001;Genova;18-bis;Scienze della Formazione Primaria;10;10025;1;F;6
2024/2025;1001;Genova;99999;Architettura;10;10025;11;M;6
2024/2025;1001;Genova;99999;Economia e commercio;8;8031;7;M;6
2024/2025;1001;Genova;99999;Ingegneria meccanica;10;10025;12;M;6
2024/2025;1001;Genova;99999;Lettere;10;10025;3;M;6
2024/2025;1001;Genova;99999;Lingue e letterature straniere moderne;10;10025;4;F;6
2024/2025;1001;Genova;99999;Scienze internazionali e diplomatiche;10;10025;5;F;6
2024/2025;1001;Genova;99999;Scienze politiche;10;10025;5;M;6
2024/2025;1001;Genova;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);9;9049;14;F;6
2024/2025;1001;Genova;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);10;10025;14;M;6
2024/2025;1001;Genova;L/SNT3;Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia);10;10025;14;M;6
2024/2025;1001;Genova;L/SNT4;Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario);10;10025;14;M;6
2024/2025;1001;Genova;LM-27;Internet And Multimedia Engineering;10;10025;12;F;6
2024/2025;1001;Genova;LM-32;Ingegneria Informatica;10;10025;12;M;6
2024/2025;1001;Genova;LM-60;Conservazione e Gestione della Natura;10;10025;9;M;6
2024/2025;1001;Genova;LM-75;Biologia ed Ecologia Marina;10;10025;9;F;6
2024/2025;1001;Genova;LM-Sc.Mat.;Scienza e Tecnologia dei Materiali;10;10025;9;F;6
2024/2025;1202;Insubria;46/S;Laurea Specialistica in Medicina e Chirurgia;12;12133;14;M;6
2024/2025;1202;Insubria;LM-38;Lingue Moderne per la Comunicazione e la Cooperazione Internazionale;13;13075;4;M;6
2024/2025;1501;Milano;25;Fisica;15;15146;9;M;6
2024/2025;1501;Milano;29;Filosofia;15;15146;3;M;6
2024/2025;1501;Milano;38;Scienze Storiche;15;15146;3;M;6
2024/2025;1501;Milano;46/S;Medicina e Chirurgia;15;15146;14;M;6
2024/2025;1501;Milano;99999;Informatica;15;15146;10;M;6
