AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeP;SedeC;GruppoCODICE;Sesso;Isc
2018/2019;101;Torino;11;Lingue e Letterature Moderne;1;1272;4;F;6
2018/2019;101;Torino;12;Scienze Biologiche;1;1272;9;M;6
2018/2019;101;Torino;14/S;Chimica e Tecnologia Farmaceutiche;1;1272;14;M;6
2018/2019;101;Torino;15;Scienze Politiche;1;1272;5;F;6
2018/2019;101;Torino;21;Chimica;1;1272;9;M;6
2018/2019;101;Torino;32;Matematica;1;1272;9;F;6
2018/2019;101;Torino;33;Scienze Motorie e Sportive;1;1272;15;F;6
2018/2019;101;Torino;38;Societa' e Culture d'Europa;1;1272;3;F;6
2018/2019;101;Torino;95/S;Storia del Patrimonio Archeologico e Storico-Artistico;1;1272;2;F;6
2018/2019;101;Torino;99999;Discipline dell'arte, della musica e dello spettacolo;1;1272;2;M;6
2018/2019;101;Torino;99999;Scienze della comunicazione;1;1125;5;M;6
2018/2019;101;Torino;L/SNT2;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);1;1171;14;M;6
2018/2019;101;Torino;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);4;4078;14;M;6
2018/2019;101;Torino;L-27;Chimica;1;1272;9;F;6
2018/2019;101;Torino;L-27;Chimica;1;1272;9;M;6
2018/2019;101;Torino;LM-60;Scienze e Gestione Sostenibile dei Sistemi Naturali;1;1272;9;F;6
2018/2019;102;Torino Politecnico;10;Ingegneria Meccanica;4;4130;12;M;6
2018/2019;102;Torino Politecnico;10;Ingegneria Meccanica (I Fac. Ing.) Sede di Torino;1;1272;12;M;6
2018/2019;102;Torino Politecnico;34/S;Ingegneria Gestionale;1;1272;12;F;6
2018/2019;102;Torino Politecnico;36/S;Ingegneria Meccanica;1;1272;12;M;6
2018/2019;102;Torino Politecnico;42;Progetto Grafico e Virtuale;1;1272;2;F;6
2018/2019;102;Torino Politecnico;8;Ingegneria Civile;1;1272;11;F;6
2018/2019;102;Torino Politecnico;9;Ingegneria del Cinema e dei Mezzi di Comunicazione;1;1272;12;M;6
2018/2019;102;Torino Politecnico;LM-27;Ict For Smart Societies;1;1272;12;M;6
2018/2019;102;Torino Politecnico;LM-27;Ict For Smart Societies (Ict per la Societa del Futuro);1;1272;12;F;6
2018/2019;102;Torino Politecnico;LM-4;Architettura (Costruzione e Citta);1;1272;11;F;6
2018/2019;102;Torino Politecnico;LM-4;Architettura (Costruzione e Citta);1;1272;11;M;6
2018/2019;102;Torino Politecnico;LM-4;Architettura (Restauro);1;1272;11;M;6
2018/2019;201;Piemonte Orientale;46/S;Medicina e Chirurgia;3;3106;14;M;6
2018/2019;201;Piemonte Orientale;L-14;Servizi Giuridici per l'Impresa;3;3106;8;F;6
2018/2019;1001;Genova;10;Ingegneria Meccanica;10;10025;12;M;6
2018/2019;1001;Genova;12;Scienze Biologiche;10;10025;9;F;6
2018/2019;1001;Genova;18;Scienze Pedagogiche e dell'Educazione;10;10025;1;M;6
2018/2019;1001;Genova;31;Scienze Giuridiche;10;10025;8;F;6
2018/2019;1001;Genova;4/S;Ingegneria Edile - Architettura;10;10025;11;F;6
2018/2019;1001;Genova;8;Ingegneria Civile e Ambientale;10;10025;11;M;6
2018/2019;1001;Genova;99999;Economia e commercio;8;8031;7;F;6
2018/2019;1001;Genova;L/SNT4;Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario);10;10025;14;F;6
2018/2019;1001;Genova;LM/SNT4;Scienze delle Professioni Sanitarie della Prevenzione;10;10025;14;M;6
2018/2019;1001;Genova;LM-2;Scienze dell'Antichità: Archeologia, Filologia e Letterature, Storia;10;10025;3;F;6
2018/2019;1001;Genova;LM-30;Energy Engineering - Ingegneria Energetica;9;9056;12;F;6
2018/2019;1001;Genova;LM-67;Scienze e Tecniche dell'Attivita Motoria Preventiva e Adattata;10;10025;14;M;6
2018/2019;1001;Genova;LM-87;Servizio Sociale e Politiche Sociali;10;10025;14;M;6
2018/2019;1202;Insubria;31;Corso di Laurea in Scienze Giuridiche;13;13075;8;M;6
2018/2019;1301;Novedrate e-Campus - telematica;34;Corso di Laurea in Scienze e Tecniche Psicologiche;13;13163;6;F;6
2018/2019;1501;Milano;14;Scienze Umanistiche per la Comunicazione;15;15146;5;F;6
2018/2019;1501;Milano;15;Scienze Internazionali e Istituzioni Europee;15;15146;5;M;6
2018/2019;1501;Milano;30;Scienze Umane dell'Ambiente, del Territorio e del Paesaggio;15;15146;5;M;6
2018/2019;1501;Milano;31;Scienze Giuridiche;15;15146;8;M;6
2018/2019;1501;Milano;33;Scienze Motorie e Sport;15;15146;15;F;6
2018/2019;1501;Milano;99999;Medicina veterinaria;15;15146;13;M;6
2018/2019;1501;Milano;99999;Odontoiatria e protesi dentaria;15;15146;14;F;6
