AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeP;SedeC;GruppoCODICE;Sesso;Isc
2015/2016;101;Torino;13;Beni Culturali Archivistici e Librari;1;1272;2;F;6
2015/2016;101;Torino;13/S;Comunicazione Multimediale e di Massa;1;1272;5;M;6
2015/2016;101;Torino;17;Corso di Laurea Interfacolta in Management dell'Informazione e della Comunicazione Aziendale;1;1272;7;F;6
2015/2016;101;Torino;17;Economia e Gestione delle Imprese;1;1191;7;M;6
2015/2016;101;Torino;18;Corso di Laurea in Scienze dell'Educazione (Savigliano);4;4215;1;M;6
2015/2016;101;Torino;19;Scienze dell'Amministrazione (On Line);1;1272;5;M;6
2015/2016;101;Torino;21;Chimica Industriale;1;1272;9;F;6
2015/2016;101;Torino;21;Chimica Industriale;1;1272;9;M;6
2015/2016;101;Torino;23;Multimedialita' e Discipline dell'Arte, della Musica e dello Spettacolo;1;1272;2;M;6
2015/2016;101;Torino;35;Sviluppo e Cooperazione;1;1272;5;M;6
2015/2016;101;Torino;42/S;Lingue e Letterature Moderne;1;1272;4;F;6
2015/2016;101;Torino;52/S;Odontoiatria e Protesi Dentaria;1;1272;14;F;6
2015/2016;101;Torino;57/S;Programmazione delle Politiche e dei Servizi Sociali;1;1272;14;F;6
2015/2016;101;Torino;99999;Odontoiatria e protesi dentaria;1;1272;14;M;6
2015/2016;101;Torino;99999;Storia;1;1272;3;F;6
2015/2016;101;Torino;99999;Scienze biologiche;1;1272;9;F;6
2015/2016;101;Torino;99999;Scienze della comunicazione;1;1125;5;M;6
2015/2016;101;Torino;L-14;Diritto ed Economia per le Imprese;1;1272;8;F;6
2015/2016;101;Torino;L-15;Scienze del Turismo;1;1272;7;M;6
2015/2016;101;Torino;L-3;Dams (Discipline dell?Arte della Musica e dello Spettacolo), Televisione e Nuovi Media;1;1272;2;M;6
2015/2016;101;Torino;L-41;Scienze Statistiche;1;1272;9;F;6
2015/2016;101;Torino;LM-15;Filologia, Letterature e Storia dell'Antichità;1;1272;3;M;6
2015/2016;101;Torino;LM-59;Produzione e Organizzazione della Comunicazione e della Conoscenza;1;1272;5;F;6
2015/2016;101;Torino;LM-60;Scienze dei Sistemi Naturali;1;1272;9;F;6
2015/2016;101;Torino;SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);1;1125;14;M;6
2015/2016;102;Torino Politecnico;10;Ingegneria Elettrica;6;6003;12;M;6
2015/2016;102;Torino Politecnico;10;Ingegneria dei Materiali;1;1272;12;M;6
2015/2016;102;Torino Politecnico;10;Ingegneria Meccanica;1;1272;12;F;6
2015/2016;102;Torino Politecnico;31/S;Ingegneria Elettrica;1;1272;12;M;6
2015/2016;102;Torino Politecnico;32/S;Ingegneria Elettronica;1;1272;12;M;6
2015/2016;102;Torino Politecnico;4;Ingegneria Edile;1;1272;11;F;6
2015/2016;102;Torino Politecnico;4;Storia e Conservazione dei Beni Architettonici e Ambientali;1;1272;11;F;6
2015/2016;102;Torino Politecnico;4;Storia e Conservazione dei Beni Architettonici e Ambientali (II Fac. Arch.) Sede di Torino;1;1272;11;M;6
2015/2016;102;Torino Politecnico;4;Scienze dell'Architettura (I Facolta) Sede di Torino;1;1272;11;F;6
2015/2016;102;Torino Politecnico;42;Disegno Industriale (I Fac. Arch) Sede di Torino;1;1272;2;M;6
